Year,Female,Male,Unknown,Total,Female.1,Male.1,Unknown.1,Total.1,Female.2,Male.2,Unknown.2,Total.2
2004,56279,10178,54,66511,6460,2788,17,9265,62739,12966,71,75776
2005,112155,24810,110,137075,13325,5799,50,19174,125480,30609,160,156249
2006,118112,28223,124,146459,13663,6020,32,19715,131775,34243,156,166174
2007,127754,33804,146,161704,14994,6613,33,21640,142748,40417,179,183344
2008,137566,39833,176,177575,15454,7038,35,22527,153020,46871,211,200102
2009,129024,38775,149,167948,13708,6220,40,19968,142732,44995,189,187916
2010,130564,46541,220,177325,16292,7248,56,23596,146856,53789,276,200921
2011,130862,49660,236,180758,17162,7856,57,25075,148024,57516,293,205833
2012,132781,54533,269,187583,18026,8433,49,26508,150807,62966,318,214091
2013,133584,57516,257,191357,17627,8232,43,25902,151211,65748,300,217259
2014,143668,66144,268,210080,19377,9090,29,28496,163045,75234,297,238576
2015,142538,66945,293,209776,19100,8950,36,28086,161638,75895,329,237862
2016,148189,75772,306,224267,21922,10606,44,32572,170111,86378,350,256839
2017,146933,80769,281,227983,21606,10111,51,31768,168539,90880,332,259751
2018,150913,93775,345,245033,26455,12671,59,39185,177368,106446,404,284218
2019,155192,100367,347,255906,27905,13555,81,41541,183097,113922,428,297447
2020,145777,103373,299,249449,26127,13155,43,39325,171904,116528,342,288774
